Date,PnL,NAV
2017-01-23,566.69,1202111.7
2017-01-24,-1231.1,1200880.5999999999
2017-01-25,2558.33,1203438.93
2017-01-26,101.46,1203540.39
2017-01-27,-866.64,1202673.75
2017-01-29,619.52,1203293.2699999998
2017-01-30,1545.96,1204839.23
2017-01-31,11089.94,1215929.17
2017-02-01,-331.27,1215597.9
2017-02-02,3231.48,1218829.38
2017-02-03,-3492.75,1215336.63
2017-02-05,-219.11,1215117.52
2017-02-06,-2185.5,1212932.02
2017-02-08,846.83,1213778.8499999999
2017-02-10,975.23,1214754.0799999998
2017-02-11,-546.69,1214207.39
2017-02-13,1456.42,1215663.8099999998
2017-02-14,250.9,1215914.71
2017-02-15,935.64,1216850.3499999999
2017-02-16,-279.16,1216571.19
2017-02-17,2322.34,1218893.5299999998
2017-02-19,-492.66,1218400.8699999999
2017-02-20,465.26,1218866.13
2017-02-21,2640.25,1221506.38
2017-02-22,533.05,1222039.43
2017-02-23,1304.12,1223343.5499999998
2017-02-24,422.23,1223765.7799999998
2017-02-26,-2653.21,1221112.5699999998
2017-02-27,-186.21,1220926.3599999999
2017-02-28,-1441.48,1219484.88
2017-03-01,-1259.07,1218225.8099999998
2017-03-02,-741.52,1217484.29
2017-03-03,-80.61,1217403.68
2017-03-04,-1021.88,1216381.7999999998
2017-03-05,-2525.27,1213856.53
2017-03-07,2108.99,1215965.52
2017-03-08,832.23,1216797.75
2017-03-09,713.31,1217511.06
2017-03-10,-632.81,1216878.25
2017-03-11,3244.31,1220122.56
2017-03-12,0.0,1220122.56
2017-03-13,228.5,1220351.06
2017-03-14,413.52,1220764.5799999998
2017-03-15,2361.16,1223125.74
2017-03-16,-2329.27,1220796.47
2017-03-17,-897.01,1219899.46
2017-03-20,-98.07,1219801.39
2017-03-21,1725.06,1221526.45
2017-03-22,400.17,1221926.6199999999
2017-03-23,1564.0,1223490.6199999999
2017-03-24,331.85,1223822.47
2017-03-26,34.02,1223856.49
2017-03-27,544.69,1224401.18
2017-03-28,714.19,1225115.3699999999
2017-03-29,-305.34,1224810.03
2017-03-30,-1827.31,1222982.72
2017-03-31,-2344.07,1220638.65
2017-04-01,-184.97,1220453.68
2017-04-04,-2630.14,1217823.54
2017-04-05,1623.3,1219446.8399999999
2017-04-06,266.88,1219713.72
2017-04-07,-153.66,1219560.0599999998
2017-04-08,-4816.47,1214743.5899999999
2017-04-09,1332.39,1216075.98
2017-04-10,-193.96,1215882.02
2017-04-12,-429.06,1215452.96
2017-04-13,1407.71,1216860.67
2017-04-14,-137.2,1216723.47
2017-04-16,-28.45,1216695.02
2017-04-17,1953.27,1218648.2899999998
2017-04-18,3746.35,1222394.64
2017-04-19,-968.84,1221425.7999999998
2017-04-20,3396.68,1224822.48
2017-04-21,-537.5,1224284.98
2017-04-23,-5961.95,1218323.0299999998
2017-04-25,-549.14,1217773.89
2017-04-26,2430.18,1220204.0699999998
2017-04-27,1479.49,1221683.5599999998
2017-04-28,1063.86,1222747.42
2017-04-30,-550.84,1222196.5799999998
2017-05-01,183.7,1222380.2799999998
2017-05-04,1274.39,1223654.67
2017-05-05,837.64,1224492.3099999998
2017-05-06,950.08,1225442.39
2017-05-07,447.65,1225890.0399999998
2017-05-09,-353.62,1225536.42
2017-05-10,3195.72,1228732.14
2017-05-12,355.81,1229087.95
2017-05-15,1925.81,1231013.7599999998
2017-05-16,-1272.78,1229740.98
2017-05-17,1294.75,1231035.73
2017-05-18,519.54,1231555.2699999998
2017-05-19,973.02,1232528.2899999998
2017-05-21,1157.24,1233685.5299999998
2017-05-22,-2900.36,1230785.17
2017-05-23,740.08,1231525.2499999998
2017-05-24,85.62,1231610.8699999999
2017-05-25,-832.17,1230778.6999999997
2017-05-26,-1258.56,1229520.14
2017-05-28,227.29,1229747.43
2017-05-29,256.25,1230003.68
2017-05-30,1499.47,1231503.15
2017-05-31,-815.98,1230687.17
2017-06-01,3268.81,1233955.9799999997
2017-06-02,-880.33,1233075.65
2017-06-03,1176.7,1234252.3499999999
2017-06-04,1048.32,1235300.67
2017-06-06,-772.5,1234528.17
2017-06-07,841.25,1235369.42
2017-06-09,4927.41,1240296.8299999998
2017-06-10,1794.43,1242091.2599999998
2017-06-11,1299.68,1243390.94
2017-06-12,-689.83,1242701.1099999999
2017-06-13,635.21,1243336.3199999998
2017-06-14,-1272.91,1242063.41
2017-06-15,41.49,1242104.9
2017-06-16,-97.69,1242007.21
2017-06-18,943.65,1242950.8599999999
2017-06-19,1023.46,1243974.3199999998
2017-06-20,1739.92,1245714.2399999998
2017-06-21,2014.46,1247728.6999999997
2017-06-22,938.1,1248666.7999999998
2017-06-23,-444.56,1248222.2399999998
2017-06-26,347.16,1248569.4
2017-06-27,-1836.62,1246732.7799999998
2017-06-28,1561.94,1248294.7199999997
2017-06-29,-103.87,1248190.8499999999
2017-06-30,560.32,1248751.17
2017-07-02,1019.41,1249770.5799999998
2017-07-03,22.2,1249792.7799999998
2017-07-04,953.73,1250746.5099999998
2017-07-06,1278.37,1252024.88
2017-07-07,-2186.99,1249837.89
2017-07-08,429.61,1250267.5
2017-07-09,1813.53,1252081.0299999998
2017-07-11,-1432.6,1250648.43
2017-07-12,242.63,1250891.0599999998
2017-07-13,-225.52,1250665.5399999998
2017-07-14,1402.36,1252067.9
2017-07-16,182.57,1252250.47
2017-07-17,970.62,1253221.0899999999
2017-07-18,150.16,1253371.25
2017-07-19,-406.63,1252964.6199999999
2017-07-20,-2584.32,1250380.2999999998
2017-07-21,223.67,1250603.97
2017-07-24,-83.91,1250520.0599999998
2017-07-25,-1451.53,1249068.5299999998
2017-07-26,4972.88,1254041.41
2017-07-27,-269.96,1253771.45
2017-07-28,3353.52,1257124.97
2017-07-31,-77.55,1257047.42
2017-08-01,140.15,1257187.5699999998
2017-08-02,-1170.67,1256016.9
2017-08-03,3641.05,1259657.95
2017-08-05,1150.05,1260807.9999999998
2017-08-06,3168.26,1263976.2599999998
2017-08-08,-1308.92,1262667.3399999999
2017-08-09,413.5,1263080.8399999999
2017-08-10,728.33,1263809.17
2017-08-11,433.7,1264242.8699999999
2017-08-12,192.46,1264435.3299999998
2017-08-13,0.0,1264435.3299999998
2017-08-14,219.4,1264654.73
2017-08-15,-2288.07,1262366.66
2017-08-16,934.7,1263301.3599999999
2017-08-17,2098.86,1265400.22
2017-08-18,-804.34,1264595.88
2017-08-21,-41.93,1264553.95
2017-08-22,-675.37,1263878.5799999998
2017-08-23,1858.59,1265737.17
2017-08-24,1102.99,1266840.16
2017-08-25,-63.04,1266777.1199999999
2017-08-27,-2323.55,1264453.5699999998
2017-08-28,329.21,1264782.78
2017-08-29,4403.88,1269186.66
2017-08-30,1154.15,1270340.81
2017-08-31,790.85,1271131.66
2017-09-01,-324.67,1270806.99
2017-09-02,-259.1,1270547.8900000001
2017-09-03,3910.71,1274458.6
2017-09-04,807.44,1275266.04
2017-09-05,-190.81,1275075.23
2017-09-06,718.16,1275793.3900000001
2017-09-07,423.24,1276216.63
2017-09-08,295.49,1276512.12
2017-09-10,539.76,1277051.88
2017-09-11,331.32,1277383.2
2017-09-13,2197.8,1279581.0
2017-09-14,3102.29,1282683.29
2017-09-15,4032.65,1286715.94
2017-09-18,489.03,1287204.97
2017-09-19,1549.21,1288754.1800000002
2017-09-20,7120.16,1295874.34
2017-09-21,-1097.74,1294776.6
2017-09-22,805.94,1295582.54
2017-09-24,-1666.32,1293916.22
2017-09-25,-536.74,1293379.48
2017-09-26,870.1,1294249.58
2017-09-27,748.46,1294998.04
2017-09-28,968.96,1295967.0
2017-09-29,2704.71,1298671.71
2017-10-01,-1268.78,1297402.9300000002
2017-10-02,660.74,1298063.67
2017-10-03,-656.09,1297407.58
2017-10-04,437.83,1297845.4100000001
2017-10-05,2232.65,1300078.06
2017-10-07,-355.14,1299722.92
2017-10-08,2390.14,1302113.06
2017-10-09,0.0,1302113.06
2017-10-10,-1414.85,1300698.21
2017-10-11,-2352.25,1298345.96
2017-10-12,-390.76,1297955.2000000002
2017-10-13,4816.3,1302771.5
2017-10-16,-974.32,1301797.1800000002
2017-10-17,-50.05,1301747.1300000001
2017-10-18,-1542.58,1300204.55
2017-10-19,208.23,1300412.78
2017-10-20,391.41,1300804.19
2017-10-23,1204.23,1302008.42
2017-10-24,-3575.33,1298433.0899999999
2017-10-25,3991.49,1302424.58
2017-10-26,-111.48,1302313.1
2017-10-27,4447.17,1306760.27
2017-10-29,298.16,1307058.43
2017-10-30,901.58,1307960.01
2017-10-31,1797.83,1309757.8399999999
2017-11-01,-1937.8,1307820.04
2017-11-04,1594.5,1309414.54
2017-11-05,57.66,1309472.2
2017-11-06,323.37,1309795.5699999998
2017-11-07,-828.8,1308966.77
2017-11-08,-1627.07,1307339.7
2017-11-09,-2059.82,1305279.88
2017-11-10,-1070.75,1304209.13
2017-11-12,-3586.17,1300622.96
2017-11-13,940.2,1301563.16
2017-11-14,-377.8,1301185.3599999999
2017-11-15,5651.6,1306836.96
2017-11-16,-453.02,1306383.94
2017-11-17,8591.27,1314975.21
2017-11-19,0.0,1314975.21
2017-11-20,920.01,1315895.22
2017-11-21,146.15,1316041.37
2017-11-22,832.02,1316873.3900000001
2017-11-23,-350.77,1316522.62
2017-11-24,880.73,1317403.35
2017-11-26,719.38,1318122.73
2017-11-27,-386.97,1317735.76
2017-11-28,932.84,1318668.6
2017-11-29,-2599.92,1316068.6800000002
2017-11-30,3504.33,1319573.01
2017-12-01,-680.23,1318892.78
2017-12-02,212.66,1319105.44
2017-12-04,-1647.46,1317457.98
2017-12-05,1121.22,1318579.2
2017-12-06,-626.81,1317952.3900000001
2017-12-07,-3394.2,1314558.19
2017-12-09,-354.75,1314203.44
2017-12-10,1574.67,1315778.1099999999
2017-12-11,-1746.07,1314032.04
2017-12-12,-1053.07,1312978.97
2017-12-13,1057.81,1314036.78
2017-12-14,3703.8,1317740.58
2017-12-15,1072.27,1318812.85
2017-12-17,905.46,1319718.31
2017-12-18,120.86,1319839.17
2017-12-19,-125.51,1319713.66
2017-12-20,-829.83,1318883.83
2017-12-21,-2366.13,1316517.7
2017-12-22,805.61,1317323.31
2017-12-25,-3.58,1317319.73
2017-12-26,298.27,1317618.0
2017-12-27,-512.19,1317105.81
2017-12-28,-270.66,1316835.15
2017-12-29,819.42,1317654.5699999998
2018-01-01,272.1,1317926.67
2018-01-02,-5476.54,1312450.13
2018-01-03,108.67,1312558.7999999998
2018-01-04,553.84,1313112.64
2018-01-05,-856.04,1312256.6
2018-01-06,-3542.95,1308713.65
2018-01-08,190.53,1308904.18
2018-01-10,1179.1,1310083.28
2018-01-11,-621.66,1309461.62
2018-01-14,982.37,1310443.99
2018-01-15,1968.63,1312412.62
2018-01-16,1521.69,1313934.31
2018-01-17,1666.75,1315601.06
2018-01-18,1388.64,1316989.7
2018-01-19,-161.49,1316828.21
2018-01-21,124.06,1316952.27
2018-01-22,209.01,1317161.28
2018-01-23,-884.09,1316277.19
2018-01-24,-1102.21,1315174.98
2018-01-25,1387.25,1316562.23
2018-01-26,823.87,1317386.1
2018-01-29,1440.67,1318826.77
2018-01-30,157.58,1318984.35
2018-01-31,1840.86,1320825.21
2018-02-01,3022.58,1323847.79
2018-02-02,84.5,1323932.29
2018-02-03,151.0,1324083.29
2018-02-04,789.1,1324872.39
2018-02-05,-115.37,1324757.02
2018-02-07,2018.11,1326775.13
2018-02-08,167.87,1326943.0
2018-02-10,-3647.42,1323295.58
2018-02-11,1046.57,1324342.15
2018-02-12,564.83,1324906.98
2018-02-13,163.66,1325070.64
2018-02-14,5553.44,1330624.08
2018-02-15,4125.86,1334749.94
2018-02-16,-1727.56,1333022.38
2018-02-19,-244.38,1332778.0
2018-02-20,-614.17,1332163.83
2018-02-21,1129.7,1333293.53
2018-02-22,-591.64,1332701.89
2018-02-23,1614.72,1334316.6099999999
2018-02-25,140.61,1334457.22
2018-02-26,-921.84,1333535.38
2018-02-27,-1307.35,1332228.0299999998
2018-02-28,-509.32,1331718.71
2018-03-01,387.07,1332105.7799999998
2018-03-04,-2689.52,1329416.2599999998
2018-03-05,593.93,1330010.19
2018-03-07,-340.71,1329669.48
2018-03-08,1045.99,1330715.4699999997
2018-03-09,540.34,1331255.8099999998
2018-03-10,2358.03,1333613.8399999999
2018-03-12,2695.03,1336308.8699999999
2018-03-13,5158.87,1341467.74
2018-03-14,2399.24,1343866.98
2018-03-15,-2632.1,1341234.88
2018-03-16,597.1,1341831.98
2018-03-18,635.73,1342467.71
2018-03-19,470.5,1342938.21
2018-03-20,1946.05,1344884.2599999998
2018-03-21,3548.22,1348432.48
2018-03-22,2999.59,1351432.0699999998
2018-03-23,1438.0,1352870.0699999998
2018-03-25,230.33,1353100.4
2018-03-26,555.28,1353655.68
2018-03-27,215.34,1353871.02
2018-03-28,688.54,1354559.56
2018-03-29,-99.62,1354459.94
2018-03-30,785.92,1355245.8599999999
2018-04-01,-241.7,1355004.16
2018-04-02,747.39,1355751.5499999998
2018-04-03,1276.73,1357028.2799999998
2018-04-04,1490.48,1358518.7599999998
2018-04-05,920.12,1359438.88
2018-04-06,6576.95,1366015.8299999998
2018-04-07,-2.83,1366013.0
2018-04-09,3761.7,1369774.7
2018-04-10,7846.97,1377621.67
2018-04-11,151.57,1377773.2399999998
2018-04-12,620.22,1378393.46
2018-04-13,-109.83,1378283.63
2018-04-15,225.3,1378508.9299999997
2018-04-16,121.45,1378630.38
2018-04-17,4469.48,1383099.8599999999
2018-04-18,610.15,1383710.0099999998
2018-04-19,-3650.96,1380059.0499999998
2018-04-20,-602.68,1379456.3699999999
2018-04-22,334.5,1379790.8699999999
2018-04-23,-2786.47,1377004.4
2018-04-24,524.83,1377529.23
2018-04-25,-1812.8,1375716.43
2018-04-26,1611.86,1377328.2899999998
2018-04-27,719.15,1378047.44
2018-04-30,141.69,1378189.13
2018-05-01,-502.29,1377686.8399999999
2018-05-02,232.02,1377918.8599999999
2018-05-03,-3832.48,1374086.38
2018-05-04,786.32,1374872.7
2018-05-06,766.78,1375639.48
2018-05-07,2933.76,1378573.24
2018-05-09,841.22,1379414.46
2018-05-10,354.82,1379769.28
2018-05-11,4103.08,1383872.3599999999
2018-05-12,-4895.56,1378976.8
2018-05-13,1568.33,1380545.13
2018-05-14,-763.41,1379781.72
